option,category,maps_to_rpc,bitcoin,zcash,pirate,zero,zero_missing_sources
conf,config,,y,y,y,y,
datadir,config,,y,y,y,y,
daemon,config,,y,y,y,y,
pid,config,,y,y,y,y,
checkblocks,chain,,y,y,y,y,
checklevel,chain,,y,y,y,y,
reindex,chain,,y,y,y,y,
dbcache,chain,,y,y,y,y,
loadblock,chain,,y,y,y,y,
par,chain,,y,y,y,y,
maxorphantx,chain,,y,y,y,y,
sysperms,chain,,n,y,y,y,
exportdir,chain,,n,y,y,y,
insightexplorer,chain,addressindex,n,y,y,y,
zindex,chain,z_*,n,y,y,y,
addnode,network,,y,y,y,y,
bind,network,,y,y,y,y,
connect,network,,y,y,y,y,
discover,network,,y,y,y,y,
dns,network,,y,y,y,y,
dnsseed,network,,y,y,y,y,
externalip,network,,y,y,y,y,
listen,network,,y,y,y,y,
listenonion,network,,y,y,y,y,
maxconnections,network,,y,y,y,y,
onlynet,network,,y,y,y,y,
port,network,,y,y,y,y,
proxy,network,,y,y,y,y,
seednode,network,,y,y,y,y,
timeout,network,,y,y,y,y,
whitebind,network,,y,y,y,y,
whitelist,network,,y,y,y,y,
banscore,network,,y,y,y,y,
bantime,network,,y,y,y,y,
torcontrol,network,,y,y,y,y,
torpassword,network,,y,y,y,y,
onion,network,,y,y,y,y,
disablewallet,wallet,,y,y,y,y,
keypool,wallet,,y,y,y,y,
migration,wallet,z_setmigration,n,y,y,y,
migrationdestaddress,wallet,,n,y,y,y,
paytxfee,wallet,,y,y,y,y,
rescan,wallet,,y,y,y,y,
salvagewallet,wallet,,y,y,y,y,
txconfirmtarget,wallet,,y,y,y,y,
wallet,wallet,,y,y,y,y,
walletbroadcast,wallet,,y,y,y,y,
walletnotify,wallet,,y,y,y,y,
zapwallettxes,wallet,,n,y,y,y,
consolidation,wallet,,n,y,y,y,
consolidatesaplingaddress,wallet,,n,y,y,y,
consolidationtxfee,wallet,,n,y,y,y,
deletetx,wallet,,n,n,n,y,
deleteinterval,wallet,,n,n,n,y,
keeptxnum,wallet,,n,n,n,y,
keeptxfornblocks,wallet,,n,n,n,y,
server,rpc,,y,y,y,y,
rest,rpc,,y,y,y,y,
rpcbind,rpc,,y,y,y,y,
rpcuser,rpc,,y,y,y,y,
rpcpassword,rpc,,y,y,y,y,
rpcport,rpc,,y,y,y,y,
rpcallowip,rpc,,y,y,y,y,
rpcthreads,rpc,,y,y,y,y,
testnet,testing,,y,y,y,y,
regtest,testing,,y,y,y,y,
debug,debug,,y,y,y,y,
printtoconsole,debug,,y,y,y,y,
logtimestamps,debug,,y,y,y,y,
logips,debug,,y,y,y,y,
minrelaytxfee,debug,,y,y,y,y,
experimentalfeatures,debug,,n,y,y,y,
gen,mining,,y,y,y,y,
genproclimit,mining,,y,y,y,y,
mineraddress,mining,,y,y,y,y,
equihashsolver,mining,,n,y,y,y,
minetolocalwallet,mining,,n,y,y,y,
blocknotify,notify,,y,y,y,y,
alertnotify,notify,,y,y,y,y,
zeronode,zeronode,zeronode*,n,n,n,y,
znconf,zeronode,,n,n,n,y,
znconflock,zeronode,,n,n,n,y,
zeronodeprivkey,zeronode,,n,n,n,y,
zeronodeaddr,zeronode,,n,n,n,y,
budgetvotemode,zeronode,,n,n,n,y,
sporkkey,zeronode,spork,n,y,y,y,
litemode,zeronode,,n,y,y,y,
zmqpubhashblock,zeromq,,y,y,y,y,
zmqpubhashtx,zeromq,,y,y,y,y,
zmqpubrawblock,zeromq,,y,y,y,y,
zmqpubrawtx,zeromq,,y,y,y,y,
mempooltxinputlimit,chain,,n,y,y,y,
mempooltxcostlimit,chain,,n,y,y,y,
mempoolevictionmemoryminutes,chain,,n,y,y,y,
maxreceivebuffer,network,,y,y,y,y,
maxsendbuffer,network,,y,y,y,y,
permitbaremultisig,network,,y,y,y,y,
peerbloomfilters,network,,y,y,y,y,
proxyrandomize,network,,y,y,y,y,
forcednsseed,network,,y,y,y,y,
datacarrier,relay,,y,y,y,y,
datacarriersize,relay,,y,y,y,y,
blockminsize,mining,,y,y,y,y,
blockmaxsize,mining,,y,y,y,y,
blockprioritysize,mining,,y,y,y,y,
txexpirydelta,wallet,,n,y,y,y,
maxtxfee,wallet,,y,y,y,y,
sendfreetransactions,wallet,,y,y,y,y,
spendzeroconfchange,wallet,,y,y,y,y,
upgradewallet,wallet,,y,y,y,y,
showmetrics,metrics,,n,y,y,y,
metricsui,metrics,,n,y,y,y,
metricsrefreshtime,metrics,,n,y,y,y,
shrinkdebugfile,debug,,y,y,y,y,
help-debug,debug,,y,y,y,y,
alerts,network,,y,y,y,y,
deleteconflicttx,wallet-hidden,,n,n,n,y,
enableswifttx,zeronode-hidden,,n,n,n,y,
swifttxdepth,zeronode-hidden,,n,n,n,y,
