rpc,type,bitcoin,zcash,pirate,zero,zero_missing_sources
help,control,y,y,y,y,
stop,control,y,y,y,y,
getrpcinfo,control,y,n,n,n,B
uptime,control,y,n,n,n,B
setlogfilter,control,n,y,n,n,Z
getinfo,control,n,y,y,y,
getmemoryinfo,control,y,y,n,n,BZ
getexperimentalfeatures,control,n,y,n,n,Z
getblockchaininfo,blockchain,y,y,y,y,
getbestblockhash,blockchain,y,y,y,y,
getblockcount,blockchain,y,y,y,y,
getblock,blockchain,y,y,y,y,
getblockhash,blockchain,y,y,y,y,
getblockheader,blockchain,y,y,y,y,
getchaintips,blockchain,y,y,y,y,
getchaintxstats,blockchain,y,y,n,y,
getdifficulty,blockchain,y,y,y,y,
getmempoolinfo,blockchain,y,y,y,y,
getrawmempool,blockchain,y,y,y,y,
gettxout,blockchain,y,y,y,y,
gettxoutsetinfo,blockchain,y,y,y,y,
verifychain,blockchain,y,y,y,y,
getblockdeltas,blockchain,n,y,y,y,
getblockhashes,blockchain,n,y,y,y,
z_gettreestate,blockchain,n,y,n,n,Z
z_getsubtreesbyindex,blockchain,n,y,n,n,Z
getblockstats,blockchain,y,n,n,n,B
getblockfrompeer,blockchain,y,n,n,n,B
getdeploymentinfo,blockchain,y,n,n,n,B
pruneblockchain,blockchain,y,n,n,n,B
preciousblock,blockchain,y,n,n,n,B
scantxoutset,blockchain,y,n,n,n,B
scanblocks,blockchain,y,n,n,n,B
getdescriptoractivity,blockchain,y,n,n,n,B
getblockfilter,blockchain,y,n,n,n,B
dumptxoutset,blockchain,y,n,n,n,B
loadtxoutset,blockchain,y,n,n,n,B
getchainstates,blockchain,y,n,n,n,B
waitfornewblock,blockchain,y,n,n,n,B
waitforblock,blockchain,y,n,n,n,B
waitforblockheight,blockchain,y,n,n,n,B
invalidateblock,hidden,y,y,y,y,
reconsiderblock,hidden,y,y,y,y,
coinsupply,blockchain,n,n,y,n,P
getlastsegidstakes,blockchain,n,n,y,n,P
notaries,blockchain,n,n,y,n,P
minerids,blockchain,n,n,y,n,P
kvsearch,blockchain,n,n,y,n,P
kvupdate,blockchain,n,n,y,n,P
getconnectioncount,network,y,y,y,y,
getdeprecationinfo,network,n,y,y,y,
ping,network,y,y,y,y,
getpeerinfo,network,y,y,y,y,
getpeerlist,network,n,n,y,n,P
addnode,network,y,y,y,y,
disconnectnode,network,y,y,y,y,
getaddednodeinfo,network,y,y,y,y,
getnettotals,network,y,y,y,y,
getnetworkinfo,network,y,y,y,y,
setban,network,y,y,y,y,
listbanned,network,y,y,y,y,
clearbanned,network,y,y,y,y,
setnetworkactive,network,y,n,n,n,B
getnodeaddresses,network,y,n,n,n,B
getaddrmaninfo,network,y,n,n,n,B
validateaddress,util,y,y,y,y,
z_validateaddress,util,n,y,y,y,
createmultisig,util,y,y,y,y,
verifymessage,util,y,y,y,y,
signmessagewithprivkey,util,y,n,n,n,B
deriveaddresses,util,y,n,n,n,B
getdescriptorinfo,util,y,n,n,n,B
getindexinfo,util,y,n,n,n,B
estimatefee,util,n,n,n,y,
estimatepriority,util,n,n,n,y,
estimatesmartfee,util,y,n,n,n,B
estimaterawfee,util,y,n,n,n,B
getaddresstxids,addressindex,n,y,n,y,
getaddressbalance,addressindex,n,y,n,y,
getaddressdeltas,addressindex,n,y,n,y,
getaddressutxos,addressindex,n,y,n,y,
getaddressmempool,addressindex,n,y,n,y,
getspentinfo,blockchain,n,y,y,y,
setmocktime,hidden,y,y,y,y,
mockscheduler,hidden,y,n,n,n,B
echo,hidden,y,n,n,n,B
echojson,hidden,y,n,n,n,B
getrawtransaction,rawtransactions,y,y,y,y,
createrawtransaction,rawtransactions,y,y,y,y,
decoderawtransaction,rawtransactions,y,y,y,y,
decodescript,rawtransactions,y,y,y,y,
sendrawtransaction,rawtransactions,y,y,y,y,
signrawtransaction,rawtransactions,n,y,y,y,
signrawtransactionwithkey,rawtransactions,y,n,n,n,B
signrawtransactionwithwallet,rawtransactions,y,n,n,n,B
fundrawtransaction,rawtransactions,y,y,y,y,
gettxoutproof,blockchain,y,y,y,y,
verifytxoutproof,blockchain,y,y,y,y,
combinerawtransaction,rawtransactions,y,n,n,n,B
decodepsbt,rawtransactions,y,n,n,n,B
combinepsbt,rawtransactions,y,n,n,n,B
finalizepsbt,rawtransactions,y,n,n,n,B
createpsbt,rawtransactions,y,n,n,n,B
converttopsbt,rawtransactions,y,n,n,n,B
utxoupdatepsbt,rawtransactions,y,n,n,n,B
descriptorprocesspsbt,rawtransactions,y,n,n,n,B
joinpsbts,rawtransactions,y,n,n,n,B
analyzepsbt,rawtransactions,y,n,n,n,B
testmempoolaccept,rawtransactions,y,n,n,n,B
submitpackage,rawtransactions,y,n,n,n,B
getmempoolancestors,blockchain,y,n,n,n,B
getmempooldescendants,blockchain,y,n,n,n,B
getmempoolentry,blockchain,y,n,n,n,B
gettxspendingprevout,blockchain,y,n,n,n,B
importmempool,blockchain,y,n,n,n,B
savemempool,blockchain,y,n,n,n,B
getorphantxs,blockchain,y,n,n,n,B
getlocalsolps,mining,n,y,y,y,
getnetworksolps,mining,n,y,y,y,
getnetworkhashps,mining,y,y,y,y,
getmininginfo,mining,y,y,y,y,
prioritisetransaction,mining,y,y,y,y,
getblocktemplate,mining,y,y,y,y,
submitblock,mining,y,y,y,y,
getblocksubsidy,mining,n,y,y,y,
getgenerate,generating,n,y,y,y,
setgenerate,generating,n,y,y,y,
generate,generating,n,y,y,y,
getprioritisedtransactions,mining,y,n,n,n,B
submitheader,mining,y,n,n,n,B
generatetoaddress,generating,y,n,n,n,B
generatetodescriptor,generating,y,n,n,n,B
generateblock,generating,y,n,n,n,B
genminingCSV,mining,n,n,y,n,P
spork,spork,n,y,y,y,
createsporkkeys,hidden,n,y,y,y,
getzeronodecount,zeronode,n,n,n,y,
zeronodeconnect,zeronode,n,n,n,y,
zeronodecurrent,zeronode,n,n,n,y,
zeronodedebug,zeronode,n,n,n,y,
createzeronodekey,zeronode,n,n,n,y,
getzeronodeoutputs,zeronode,n,n,n,y,
startzeronode,zeronode,n,n,n,y,
startalias,zeronode,n,n,n,y,
getzeronodestatus,zeronode,n,n,n,y,
listzeronodes,zeronode,n,n,n,y,
listzeronodeconf,zeronode,n,n,n,y,
getzeronodewinners,zeronode,n,n,n,y,
getzeronodescores,zeronode,n,n,n,y,
zeronode,zeronode,n,n,n,y,
znsync,zeronode,n,n,n,y,
zeronodestats,zeronode,n,n,n,y,
znbudget,zeronode-budget,n,n,n,y,
preparebudget,zeronode-budget,n,n,n,y,
submitbudget,zeronode-budget,n,n,n,y,
znbudgetvote,zeronode-budget,n,n,n,y,
znbudgetrawvote,zeronode-budget,n,n,n,y,
znfinalbudget,zeronode-budget,n,n,n,y,
getbudgetvotes,zeronode-budget,n,n,n,y,
getnextsuperblock,zeronode-budget,n,n,n,y,
getbudgetprojection,zeronode-budget,n,n,n,y,
getbudgetinfo,zeronode-budget,n,n,n,y,
checkbudgets,zeronode-budget,n,n,n,y,
addmultisigaddress,wallet,y,y,y,y,
backupwallet,wallet,y,y,y,y,
dumpprivkey,wallet,y,y,y,y,
dumpwallet,wallet,y,y,y,y,
encryptwallet,wallet,y,y,y,y,
getaccountaddress,wallet,n,n,y,y,
getaccount,wallet,n,n,y,y,
getaddressesbyaccount,wallet,n,n,y,y,
getbalance,wallet,y,y,y,y,
getnewaddress,wallet,y,y,y,y,
getrawchangeaddress,wallet,y,y,y,y,
getreceivedbyaccount,wallet,n,n,y,y,
getreceivedbyaddress,wallet,y,y,y,y,
gettransaction,wallet,y,y,y,y,
getunconfirmedbalance,wallet,n,y,y,y,
getwalletinfo,wallet,y,y,y,y,
importprivkey,wallet,y,y,y,y,
importwallet,wallet,y,y,y,y,
importaddress,wallet,y,y,y,y,
importpubkey,wallet,n,y,n,n,Z
keypoolrefill,wallet,y,y,y,y,
listaccounts,wallet,n,y,y,y,
listaddressgroupings,wallet,y,y,y,y,
listaddresses,wallet,n,y,n,n,Z
listlockunspent,wallet,y,y,y,y,
listreceivedbyaccount,wallet,n,n,y,y,
listreceivedbyaddress,wallet,y,y,y,y,
listsinceblock,wallet,y,y,y,y,
listtransactions,wallet,y,y,y,y,
listunspent,wallet,y,y,y,y,
lockunspent,wallet,y,y,y,y,
move,wallet,n,n,n,y,
sendfrom,wallet,n,n,y,y,
sendmany,wallet,y,y,y,y,
sendtoaddress,wallet,y,y,y,y,
setaccount,wallet,n,n,y,y,
settxfee,wallet,y,y,y,y,
signmessage,wallet,y,y,y,y,
